page_id,route,title,source,component_count,component_ids,shared_dependencies,evidence_status,mobile_status,screenshots
P41,/companion-runtime/import/result,Companion import result,src/app/(app)/companion-runtime/import/result/page.tsx,2,P41-C01; P41-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Runtime DOM/source reviewed; captured wide state is hidden or guarded,Dedicated companion route; wide content hidden in captured runtime views,80-runtime-4-desktop.jpg
P42,/companion-runtime/rapsodo,Companion R-Cloud,src/app/(app)/companion-runtime/rapsodo/page.tsx,3,P42-C01; P42-C02; P42-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Runtime DOM/source reviewed; captured wide state is hidden or guarded,Dedicated companion route; wide content hidden in captured runtime views,81-runtime-5-desktop.jpg
P43,/rounds,Rounds,src/app/(app)/rounds/page.tsx,4,P43-C01; P43-C02; P43-C03; P43-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,11-rounds-desktop.jpg
P44,/rounds/new,Add round,src/app/(app)/rounds/new/page.tsx,3,P44-C01; P44-C02; P44-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,58-rounds-new-desktop.jpg
P45,/rounds/[sessionId],Round review and live scoring,src/app/(app)/rounds/[sessionId]/page.tsx,9,P45-C01; P45-C02; P45-C03; P45-C04; P45-C05; P45-C06; P45-C07; P45-C08; P45-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,61-detail-1-desktop.jpg
P46,/courses,Course library,src/app/(app)/courses/page.tsx,3,P46-C01; P46-C02; P46-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,28-courses-desktop.jpg
P47,/courses/new,Create or import course,src/app/(app)/courses/new/page.tsx,4,P47-C01; P47-C02; P47-C03; P47-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,29-courses-new-desktop.jpg
P48,/courses/[courseId],Course detail,src/app/(app)/courses/[courseId]/page.tsx,5,P48-C01; P48-C02; P48-C03; P48-C04; P48-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,65-detail-5-desktop.jpg
P49,/courses/[courseId]/holes,Course editor and reference,src/app/(app)/courses/[courseId]/holes/page.tsx,7,P49-C01; P49-C02; P49-C03; P49-C04; P49-C05; P49-C06; P49-C07,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,71-detail-3-desktop.jpg
P50,/courses/[courseId]/shot-pattern,Course shot-pattern planner,src/app/(app)/courses/[courseId]/shot-pattern/page.tsx,4,P50-C01; P50-C02; P50-C03; P50-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,73-detail-5-desktop.jpg
P51,/courses/strategy,Course strategy,src/app/(app)/courses/strategy/page.tsx,5,P51-C01; P51-C02; P51-C03; P51-C04; P51-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,30-courses-strategy-desktop.jpg
P52,/course-twins,Course Twin catalogue,src/app/(app)/course-twins/page.tsx,2,P52-C01; P52-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,31-course-twins-desktop.jpg
P53,/play,Play and pre-round setup,src/app/(app)/play/page.tsx,5,P53-C01; P53-C02; P53-C03; P53-C04; P53-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,32-play-desktop.jpg
P54,/play/[courseId],Immersive Course Twin,src/app/(app)/play/[courseId]/page.tsx,4,P54-C01; P54-C02; P54-C03; P54-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,76-runtime-0-desktop.jpg
P55,/course-records,Course record boards,src/app/(app)/course-records/page.tsx,3,P55-C01; P55-C02; P55-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,33-course-records-desktop.jpg
P56,/courses/[courseId]/records,Records at a course,src/app/(app)/courses/[courseId]/records/page.tsx,3,P56-C01; P56-C02; P56-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,72-detail-4-desktop.jpg
P57,/course-records/[recordId],Course record detail,src/app/(app)/course-records/[recordId]/page.tsx,5,P57-C01; P57-C02; P57-C03; P57-C04; P57-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,85-record-detail-desktop.jpg
P58,/challenges,Challenges,src/app/(app)/challenges/page.tsx,6,P58-C01; P58-C02; P58-C03; P58-C04; P58-C05; P58-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,34-challenges-desktop.jpg
P59,/challenges/[challengeId],Challenge detail,src/app/(app)/challenges/[challengeId]/page.tsx,7,P59-C01; P59-C02; P59-C03; P59-C04; P59-C05; P59-C06; P59-C07,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,84-challenge-detail-desktop.jpg
P60,/tournaments,Tournaments,src/app/(app)/tournaments/page.tsx,3,P60-C01; P60-C02; P60-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,35-tournaments-desktop.jpg
P61,/tournaments/[tournamentId],Tournament detail,src/app/(app)/tournaments/[tournamentId]/page.tsx,8,P61-C01; P61-C02; P61-C03; P61-C04; P61-C05; P61-C06; P61-C07; P61-C08,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,69-detail-1-desktop.jpg
P62,/leaderboard,Leaderboards,src/app/(app)/leaderboard/page.tsx,5,P62-C01; P62-C02; P62-C03; P62-C04; P62-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Summary capability: verify and implement full specified tasks,36-leaderboard-desktop.jpg
P63,/achievements,Achievements,src/app/(app)/achievements/page.tsx,6,P63-C01; P63-C02; P63-C03; P63-C04; P63-C05; P63-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Summary capability: verify and implement full specified tasks,37-achievements-desktop.jpg
P64,/friends,Friends,src/app/(app)/friends/page.tsx,4,P64-C01; P64-C02; P64-C03; P64-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,39-friends-desktop.jpg
P65,/groups,Groups,src/app/(app)/groups/page.tsx,4,P65-C01; P65-C02; P65-C03; P65-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,40-groups-desktop.jpg
P66,/groups/[groupSlug],Group clubhouse,src/app/(app)/groups/[groupSlug]/page.tsx,6,P66-C01; P66-C02; P66-C03; P66-C04; P66-C05; P66-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,68-detail-0-desktop.jpg
P67,/feed,Clubhouse feed,src/app/(app)/feed/page.tsx,4,P67-C01; P67-C02; P67-C03; P67-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,41-feed-desktop.jpg
P68,/social-intelligence,Recaps and safety,src/app/(app)/social-intelligence/page.tsx,4,P68-C01; P68-C02; P68-C03; P68-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,50-social-intelligence-desktop.jpg
P69,/profile,Your profile,src/app/(app)/profile/page.tsx,9,P69-C01; P69-C02; P69-C03; P69-C04; P69-C05; P69-C06; P69-C07; P69-C08; P69-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,38-profile-desktop.jpg
P70,/profile/[username],Social profile,src/app/(app)/profile/[username]/page.tsx,4,P70-C01; P70-C02; P70-C03; P70-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,70-detail-2-desktop.jpg
P71,/settings,Settings,src/app/(app)/settings/page.tsx,14,P71-C01; P71-C02; P71-C03; P71-C04; P71-C05; P71-C06; P71-C07; P71-C08; P71-C09; P71-C10; P71-C11; P71-C12; P71-C13; P71-C14,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,42-settings-desktop.jpg
P72,/settings/notifications,Notification preferences,src/app/(app)/settings/notifications/page.tsx,3,P72-C01; P72-C02; P72-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,44-settings-notifications-desktop.jpg
P73,/settings/invitations/[token],Accept account invitation,src/app/(app)/settings/invitations/[token]/page.tsx,2,P73-C01; P73-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,
P74,/shared/[userId],Shared account overview,src/app/(app)/shared/[userId]/page.tsx,3,P74-C01; P74-C02; P74-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Source reviewed; token/special state not exercised live,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,
P75,/billing,Plan and billing,src/app/(app)/billing/page.tsx,6,P75-C01; P75-C02; P75-C03; P75-C04; P75-C05; P75-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,43-billing-desktop.jpg
P76,/admin,Operations console,src/app/(admin)/admin/page.tsx,5,P76-C01; P76-C02; P76-C03; P76-C04; P76-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,52-admin-desktop.jpg
P77,/admin/users,Account management,src/app/(admin)/admin/users/page.tsx,4,P77-C01; P77-C02; P77-C03; P77-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,53-admin-users-desktop.jpg
P78,/admin/moderation,Moderation,src/app/(admin)/admin/moderation/page.tsx,5,P78-C01; P78-C02; P78-C03; P78-C04; P78-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,54-admin-moderation-desktop.jpg
P79,/admin/billing,Billing and entitlements,src/app/(admin)/admin/billing/page.tsx,4,P79-C01; P79-C02; P79-C03; P79-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,55-admin-billing-desktop.jpg
P80,/admin/challenges,Challenge and tournament administration,src/app/(admin)/admin/challenges/page.tsx,4,P80-C01; P80-C02; P80-C03; P80-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,56-admin-challenges-desktop.jpg
P81,/admin/system-checks,System checks,src/app/(admin)/admin/system-checks/page.tsx,4,P81-C01; P81-C02; P81-C03; P81-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,57-admin-system-checks-desktop.jpg
P82,/partners,Sponsors and partner offers,src/app/(app)/partners/page.tsx,5,P82-C01; P82-C02; P82-C03; P82-C04; P82-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,51-partners-desktop.jpg
P83,/,Public home page,src/app/page.tsx,13,P83-C01; P83-C02; P83-C03; P83-C04; P83-C05; P83-C06; P83-C07; P83-C08; P83-C09; P83-C10; P83-C11; P83-C12; P83-C13,G01; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Public responsive/source branch reviewed,74-detail-6-desktop.jpg
P84,/login,Sign in or join,src/app/login/page.tsx,4,P84-C01; P84-C02; P84-C03; P84-C04,G01; G09; G10; G11; G12; G13; G14,Live authentication exercised + source reviewed; no retained screenshot,Public responsive/source branch reviewed,
